"date";"Cod";"Tipo";"Moeda";"Taxa-de-compra";"Taxa-de-venda";"Paridade-compra";"Paridade-venda"
04/01/2019;912;B;WST;1,40140000;1,48440000;0,37250000;0,39450000
04/01/2019;913;A;KZT;0,01000000;0,01001000;375,87000000;376,09000000
04/01/2019;915;A;MNT;0,00141200;0,00143800;2617,00000000;2665,00000000
04/01/2019;920;A;VUV;0,03255000;0,03360000;112,00000000;115,58000000
04/01/2019;930;A;KRW;0,00334600;0,00335200;1122,53000000;1124,53000000
04/01/2019;946;A;TZS;0,00163200;0,00164000;2295,00000000;2305,00000000
04/01/2019;950;A;KES;0,03683000;0,03691000;101,95000000;102,15000000
04/01/2019;955;A;UGX;0,00100900;0,00101200;3720,00000000;3730,00000000
04/01/2019;960;A;SOS;0,00646400;0,00654400;575,00000000;582,00000000
04/01/2019;975;A;PLN;0,99430000;0,99490000;3,78200000;3,78360000
04/01/2019;978;B;EUR;4,27110000;4,27250000;1,13530000;1,13550000
04/01/2019;998;A;XAU;154,56450000;154,58920000;0,02434000;0,02434000
